,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
274,richards bay,90,US,1568048816,93,46.84,-95.91,57.99,13.87
275,parati,0,BR,1568048817,22,-20.51,-54.63,98.6,19.46
276,mount pleasant,75,GB,1568048817,93,53.66,-1.85,60.01,4.7
277,greenville,1,US,1568048610,36,34.85,-82.4,96.01,5.82
278,pathein,100,MM,1568048817,89,16.78,94.73,79.07,9.73
279,inhambane,20,MZ,1568048818,56,-23.87,35.38,73.4,9.17
280,port keats,9,CD,1568048810,41,-7.04,29.76,66.83,3.11
281,lufilufi,40,WS,1568048818,94,-13.87,-171.6,73.4,6.93
282,lujan,20,AR,1568048818,35,-46.57,-67.67,47.75,20.98
283,labuhan,60,ID,1568048818,69,-2.54,115.51,68.09,1.81
284,oistins,20,BB,1568048818,66,13.07,-59.53,87.8,18.34
285,grand river south east,0,FR,1568048819,55,48.39,5.49,64.4,5.82
286,muroto,32,JP,1568048819,89,33.37,134.14,73.85,3.02
287,chicama,90,PE,1568048668,82,-7.84,-79.15,62.6,9.17
288,rimbey,90,CA,1568048819,87,52.64,-114.24,53.6,12.75
289,bonavista,80,CA,1568048819,68,48.65,-53.11,54.0,14.0
290,pittsfield,1,US,1568048635,78,39.61,-90.81,84.0,9.17
291,aanekoski,90,FI,1568048820,93,62.6,25.73,59.0,6.93
292,adrar,40,DZ,1568048643,12,27.87,-0.29,102.2,14.99
293,dunedin,0,NZ,1568048674,63,-45.87,170.5,39.0,5.99
294,coihaique,40,CL,1568048820,45,-45.58,-72.07,50.0,3.36
295,manta,100,RO,1568048821,41,45.1,24.1,65.93,8.5
296,haifa,40,IL,1568048821,69,32.82,35.0,82.4,5.82
297,crestview,75,US,1568048821,49,30.76,-86.57,95.0,3.36
298,burley,1,US,1568048821,59,42.54,-113.79,62.6,6.93
299,bayan,44,CN,1568048821,93,36.1,102.26,45.41,1.07
300,egvekinot,85,RU,1568048549,86,66.32,-179.17,36.77,1.41
301,ouango,93,CD,1568048821,96,4.31,22.55,66.65,3.06
302,samarai,99,PG,1568048821,83,-10.62,150.67,67.37,8.75
303,nantucket,1,US,1568048545,64,41.28,-70.1,73.99,9.17
304,ambikapur,100,IN,1568048822,94,23.12,83.2,74.39,6.93
305,shimoda,40,JP,1568048822,88,34.7,138.93,80.6,2.91
306,cayenne,58,GF,1568048822,74,4.94,-52.33,87.8,9.17
307,mys shmidta,9,RU,1568048822,77,62.06,48.62,48.11,2.48
308,port-cartier,75,CA,1568048822,62,50.03,-66.88,55.4,6.93
309,xuddur,66,SO,1568048822,66,4.12,43.89,77.63,15.88
310,shieli,47,KZ,1568048823,42,44.18,66.74,62.87,11.5
311,agadir,20,MA,1568048823,65,30.42,-9.58,78.8,18.34
312,jurm,3,AF,1568048823,65,36.86,70.83,44.15,2.59
313,saucillo,81,MX,1568048823,49,28.03,-105.29,79.97,2.98
314,asekeyevo,58,RU,1568048824,92,53.57,52.8,57.47,4.41
315,poum,40,MK,1568048824,47,41.28,20.71,75.2,5.82
316,marataizes,70,BR,1568048824,66,-21.04,-40.82,77.63,15.35
317,biak,98,ID,1568048824,46,-0.91,122.88,57.65,5.68
318,faanui,39,PF,1568048824,83,-16.48,-151.75,78.35,18.86
319,vao,13,EE,1568048824,92,59.1,26.19,59.99,5.21
320,broome,40,GB,1568048824,76,52.47,1.45,57.99,6.93
321,biscarrosse,75,FR,1568048825,63,44.41,-1.18,68.0,8.05
322,husavik,100,CA,1568048597,60,50.56,-96.99,62.01,8.01
323,lumajang,63,ID,1568048825,83,-8.14,113.22,60.35,1.72
324,kruisfontein,7,ZA,1568048825,83,-34.0,24.73,60.17,2.8
325,grand gaube,0,FR,1568048825,55,48.39,5.49,64.4,5.82
326,lagos,75,NG,1568048770,70,6.46,3.39,84.2,14.99
327,khanpur,21,PK,1568048711,27,28.65,70.66,101.93,13.62
328,ayagoz,100,KZ,1568048825,81,47.96,80.43,50.81,6.64
329,aracati,60,BR,1568048826,45,-4.56,-37.77,87.89,14.54
330,hondo,40,US,1568048826,46,29.35,-99.14,91.99,11.41
331,aksarka,100,RU,1568048636,59,66.56,67.8,44.15,16.82
332,pacifica,20,US,1568048826,77,37.61,-122.49,69.01,5.82
333,namtsy,0,RU,1568048826,81,62.72,129.66,48.2,6.71
334,victoria,75,BN,1568048821,88,5.28,115.24,82.4,3.15
335,hurricane,1,US,1568048720,21,37.18,-113.29,81.0,3.36
336,numan,78,NG,1568048826,84,9.46,12.04,76.01,2.13
337,karachi,94,PK,1568048651,83,24.87,67.03,84.2,6.93
338,luan,100,CH,1568048827,51,46.36,6.98,62.6,2.24
339,fort morgan,100,IN,1568048827,83,17.96,79.61,77.99,8.97
340,courtenay,0,FR,1568048827,39,48.04,3.06,66.0,8.05
341,gazojak,0,TM,1568048827,52,41.19,61.4,60.53,11.41
342,eganville,1,CA,1568048827,54,45.54,-77.1,59.0,2.89
343,maple creek,90,US,1568048827,87,46.59,-91.72,63.0,6.93
344,riva,75,ES,1568048828,68,43.28,-3.56,70.0,12.75
345,morrinhos,40,BR,1568048828,20,-17.73,-49.11,95.81,5.73
346,jericho,0,PS,1568048828,61,31.86,35.46,82.0,5.82
347,shisui,20,JP,1568048828,100,35.74,140.28,86.0,1.12
348,wajid,67,SO,1568048828,60,3.81,43.25,80.51,17.38
349,hualmay,95,PE,1568048828,87,-11.1,-77.61,61.25,18.21
350,yantzaza,40,EC,1568048828,35,-3.83,-78.76,84.2,16.11
351,jambi,95,ID,1568048829,91,-1.6,103.62,74.57,2.01
352,ruteng,0,ID,1568048829,87,-8.61,120.46,65.75,4.41
353,kaitangata,3,NZ,1568048829,75,-46.28,169.85,28.99,1.99
354,friedberg,40,AT,1568048829,59,47.44,16.06,64.4,2.24
355,boyuibe,19,BO,1568048829,22,-20.43,-63.28,96.8,6.93
356,jaca,0,ES,1568048829,36,42.57,-0.55,75.99,5.12
357,tholen,90,NL,1568048829,55,51.54,4.22,64.0,6.93
358,tiarei,20,PF,1568048830,83,-17.53,-149.33,71.6,4.7
359,esperance,100,AU,1568048830,48,-33.86,121.89,68.0,18.34
360,chapais,75,CA,1568048830,57,49.78,-74.86,51.8,9.17
361,verkhnyaya inta,100,RU,1568048830,79,60.98,40.21,53.33,4.12
362,seoul,90,KR,1568048652,106,37.57,126.98,77.0,3.36
363,monteagudo,33,BO,1568048830,22,-19.8,-63.96,96.8,6.93
364,hasaki,20,JP,1568048830,100,35.73,140.83,77.0,1.12
365,talnakh,40,RU,1568048831,79,69.49,88.39,35.6,4.47
366,aklavik,20,CA,1568048831,76,68.22,-135.01,53.6,4.7
367,san ignacio de sabaneta,90,ML,1568048799,58,13.3,-4.9,87.71,7.52
368,saskylakh,0,RU,1568048831,83,71.97,114.09,28.13,9.6
369,sukhothai,100,TH,1568048831,73,17.01,99.82,78.17,10.42
370,nueva loja,75,EC,1568048831,61,-1.72,-79.83,82.4,6.93
371,cherskiy,98,RU,1568048832,94,68.75,161.3,38.57,3.91
372,maxixe,20,MZ,1568048832,56,-23.86,35.35,73.4,9.17
373,acapulco,75,MX,1568048832,70,16.86,-99.88,84.2,4.7
374,pangobilian,97,PH,1568048832,77,8.8,117.86,80.33,4.41
375,kirakira,100,SB,1568048557,90,-10.46,161.92,76.91,4.23
376,bereda,75,ES,1568048832,72,43.27,-7.54,69.01,9.17
377,nyakabindi,79,TZ,1568048832,46,-2.63,33.98,78.17,4.61
378,santa maria,100,PH,1568048833,87,17.49,120.43,79.25,18.03
379,warrington,75,GB,1568048801,93,53.39,-2.59,61.0,11.41
380,luganville,88,VU,1568048833,84,-15.51,167.18,68.09,1.41
381,hobyo,92,SO,1568048833,82,5.35,48.53,76.73,24.94
382,dergachi,35,RU,1568048833,61,51.24,48.77,60.35,4.21
383,komatipoort,0,MZ,1568048833,66,-25.43,31.96,64.0,2.08
384,east moline,69,UG,1568048813,89,3.43,31.7,69.89,2.24
385,shimanovsk,70,RU,1568048834,89,52.0,127.67,45.59,10.07
386,toribio,40,CO,1568048834,48,2.95,-76.27,87.8,5.82
387,tevaitoa,8,PF,1568048834,82,-16.78,-151.5,77.63,17.98
388,khandbari,97,NP,1568048834,94,27.38,87.21,59.27,1.41
389,ponta delgada,63,BR,1568048834,55,-0.53,-65.05,88.43,3.27
390,sidi ali,83,CF,1568048835,96,5.08,19.88,66.11,1.86
391,launceston,3,AU,1568048835,80,-41.43,147.14,36.0,9.17
392,yueyang,8,CN,1568048835,67,29.36,113.12,79.43,4.25
393,mocuba,1,MZ,1568048835,68,-16.84,36.99,66.47,7.27
394,havre-saint-pierre,1,CA,1568048726,62,50.23,-63.6,55.4,16.11
395,naron,75,ES,1568048835,72,43.52,-8.15,66.99,9.17
396,kidal,36,ML,1568048836,29,18.44,1.41,96.53,13.87
397,maniitsoq,0,GL,1568048637,60,65.42,-52.9,40.91,0.92
398,waingapu,0,ID,1568048836,91,-9.65,120.26,67.55,8.43
399,skibbereen,75,IE,1568048836,71,51.55,-9.27,57.2,16.11
400,kristiansund,0,NO,1568048836,54,63.12,7.73,60.8,8.05
401,whitehorse,20,CA,1568048605,52,60.72,-135.06,45.0,4.7
402,valeggio sul mincio,0,IT,1568048836,30,45.15,8.86,75.0,8.05
403,maba,0,CN,1568048836,91,24.68,113.59,75.47,1.39
404,ancud,75,CL,1568048635,81,-41.87,-73.83,48.2,9.17
405,kushalgarh,100,IN,1568048837,96,23.2,74.45,77.63,10.6
406,ambalavao,22,MG,1568048837,88,-21.83,46.94,57.47,2.77
407,gloversville,40,US,1568048832,72,43.05,-74.34,71.01,5.82
408,srednekolymsk,88,RU,1568048837,91,67.46,153.71,36.95,4.25
409,concordia,90,AR,1568048837,88,-31.4,-58.02,66.2,23.04
410,houma,100,CN,1568048837,79,35.63,111.36,67.55,8.32
411,sobolevo,100,RU,1568048837,89,54.43,31.9,61.61,7.4
412,muros,40,ES,1568048838,68,42.77,-9.06,69.01,11.41
413,taksimo,0,RU,1568048838,81,56.36,114.84,33.35,1.23
414,praya,40,ID,1568048838,88,-8.71,116.27,75.2,8.05
415,huarmey,55,PE,1568048621,89,-10.07,-78.15,61.25,17.09
416,pisco,56,PE,1568048838,30,-13.71,-76.2,71.6,24.16
417,necochea,100,AR,1568048838,99,-38.55,-58.74,50.0,7.0
418,santa rosalia,100,PH,1568048833,87,17.49,120.43,79.25,18.03
419,kyshtovka,96,RU,1568048839,89,56.56,76.62,50.09,10.2
420,bushehr,0,IR,1568048664,55,28.97,50.84,91.4,11.41
421,florianopolis,0,BR,1568048633,83,-27.6,-48.55,87.01,14.99
422,shingu,6,JP,1568048839,96,33.72,135.99,69.35,2.01
423,ziro,100,IN,1568048839,97,27.54,93.82,60.53,2.21
424,kushima,11,JP,1568048839,97,31.5,131.29,75.29,1.52
425,kaniama,74,CD,1568048839,29,-7.57,24.18,81.23,3.11
426,pskov,24,RU,1568048840,77,57.82,28.33,69.8,4.47
427,bubaque,45,GW,1568048840,75,11.28,-15.83,81.59,9.28
428,bahile,100,PH,1568048840,73,10.0,118.79,83.21,7.09
429,joroan,49,PH,1568048840,97,13.49,123.62,74.75,4.97
430,namibe,55,AO,1568048840,91,-15.19,12.15,68.27,9.06
431,ishigaki,64,JP,1568048840,76,24.34,124.16,81.41,4.14
432,yantal,0,RU,1568048841,93,56.85,105.25,42.35,2.13
433,yakeshi,100,CN,1568048841,85,49.28,120.73,39.83,2.75
434,mwinilunga,82,ZM,1568048841,37,-11.73,24.43,63.23,4.12
435,srandakan,73,ID,1568048841,86,-7.94,110.25,75.65,13.42
436,qandala,71,SO,1568048841,57,11.47,49.87,89.51,9.19
437,ixtapa,75,MX,1568048841,66,20.71,-105.21,88.0,4.16
438,nuevo imperial,40,AR,1568048841,69,-27.5,-58.79,75.2,13.87
439,barinitas,74,VE,1568048842,80,8.76,-70.41,63.59,6.33
440,strugari,20,ME,1568048842,61,42.37,18.98,78.8,2.24
441,constantine,75,DZ,1568048842,93,36.36,6.61,66.2,13.87
442,chimbarongo,90,CL,1568048842,81,-34.71,-71.04,51.8,5.82
443,kloulklubed,90,PW,1568048842,88,7.04,134.26,80.6,18.34
444,merauke,0,ID,1568048618,81,-8.49,140.4,73.49,21.88
445,mogadishu,75,SO,1568048843,74,2.04,45.34,78.8,11.41
446,rio gallegos,75,US,1568048606,77,41.11,-90.4,81.0,11.41
447,wonthaggi,91,AU,1568048843,79,-38.6,145.59,51.01,7.34
448,sao filipe,100,IN,1568048843,90,20.51,76.21,72.59,10.18
449,ambilobe,0,MG,1568048843,63,-13.19,49.05,75.29,15.95
450,cubuk,20,TR,1568048739,28,40.24,33.03,78.8,5.82
451,nouadhibou,79,MR,1568048843,65,20.93,-17.03,78.8,11.41
452,cap malheureux,100,FR,1568048843,93,49.27,-1.21,59.0,12.75
453,berezovka,49,RU,1568048844,85,55.71,42.61,56.93,2.28
454,schonebeck,20,DE,1568048844,55,51.98,7.5,66.0,4.7
455,roald,0,NO,1568048844,72,62.58,6.12,61.0,10.29
456,pangnirtung,75,CA,1568048844,53,66.15,-65.72,41.0,5.82
457,marquette,76,US,1568048596,55,46.54,-87.4,62.6,6.93
458,ouadda,99,CF,1568048844,98,8.07,22.4,67.55,3.89
459,batagay-alyta,71,RU,1568048844,92,67.8,130.41,33.17,3.31
460,edea,100,CM,1568048845,96,3.8,10.13,73.85,4.45
461,louth,75,GB,1568048807,82,53.37,0.0,60.01,9.17
462,nyagan,48,RU,1568048845,65,62.14,65.43,41.09,1.32
463,laguna,40,BZ,1568048845,74,16.17,-88.94,86.0,6.93
464,fort-shevchenko,0,KZ,1568048845,55,44.51,50.26,68.99,23.11
465,recke,20,DE,1568048845,55,52.37,7.72,64.99,4.7
466,lianzhou,22,CN,1568048845,94,24.79,112.38,70.61,1.77
467,sungaipenuh,95,ID,1568048846,96,-2.08,101.38,72.95,0.56
468,ahuimanu,20,US,1568048846,69,21.44,-157.84,82.4,14.99
469,marondera,0,ZW,1568048846,16,-18.19,31.55,68.0,6.2
470,waharoa,98,NZ,1568048846,97,-37.76,175.76,48.99,7.72
471,bilibino,99,RU,1568048846,89,68.06,166.44,38.75,3.22
472,khatanga,9,RU,1568048846,81,71.98,102.47,30.83,9.33
473,santa marinella,100,PH,1568048800,87,17.49,120.43,79.25,18.03
474,dhanera,100,IN,1568048847,82,24.51,72.02,83.39,9.33
475,kangaatsiaq,0,GL,1568048847,58,68.31,-53.46,40.37,16.58
476,ghanzi,0,BW,1568048847,14,-21.7,21.65,62.87,4.52
477,axim,37,GH,1568048847,85,4.87,-2.24,76.73,9.22
478,tupik,0,RU,1568048847,87,54.43,119.94,34.79,3.65
479,sioux lookout,75,US,1568048848,59,46.74,-90.88,64.99,8.05
480,homer,90,US,1568048848,87,59.64,-151.54,53.6,6.93
481,mangrol,100,IN,1568048848,79,25.33,76.51,82.85,6.2
482,villarrica,90,CL,1568048848,76,-39.28,-72.23,51.8,17.22
483,sisimiut,0,GL,1568048848,62,66.94,-53.67,42.17,22.19
484,tete,0,MZ,1568048848,22,-16.16,33.59,78.8,3.36
485,chuy,100,UY,1568048617,99,-33.69,-53.46,58.73,11.95
486,dingle,90,PH,1568048849,82,11.0,122.67,74.75,1.86
487,sabha,0,LY,1568048849,16,27.03,14.43,96.71,12.88
488,maragogi,95,BR,1568048620,70,-9.01,-35.22,78.35,10.07
489,suzhou,32,CN,1568048849,78,31.3,120.58,80.01,1.43
490,overyata,40,RU,1568048849,93,58.09,55.86,55.4,4.47
491,wichita falls,100,US,1568048585,54,37.69,-97.34,87.8,23.04
492,les mureaux,100,FR,1568048849,45,42.81,0.71,73.99,2.35
493,lancaster,1,US,1568048632,38,34.7,-118.14,78.01,11.01
494,matara,79,BI,1568048850,67,-3.48,29.48,55.13,1.21
495,harper,75,US,1568048647,58,30.3,-99.24,87.01,14.99
496,fort william,100,IN,1568048783,83,17.96,79.61,77.99,8.97
497,lishui,0,CN,1568048850,92,28.45,119.91,67.37,2.19
498,kavieng,100,PG,1568048850,72,-2.57,150.8,82.13,9.08
499,bucak,75,TR,1568048850,27,37.46,30.59,82.4,8.05
500,rawson,0,AR,1568048850,32,-43.3,-65.11,55.85,13.67
501,ruiz,40,MX,1568048851,65,21.95,-105.15,78.8,4.25
502,casper,1,US,1568048667,39,42.87,-106.31,64.99,29.97
503,san jeronimo,90,ML,1568048773,58,13.3,-4.9,87.71,7.52
504,itarema,72,BR,1568048638,44,-2.92,-39.92,88.97,18.01
505,eseka,100,CM,1568048851,98,3.65,10.77,71.87,3.44
506,sao felix do xingu,100,IN,1568048851,90,20.51,76.21,72.59,10.18
507,kieta,100,PG,1568048851,90,-6.22,155.63,75.83,11.05
508,haines junction,1,US,1568048851,63,44.91,-117.94,66.0,5.82
509,imeni poliny osipenko,100,NG,1568048852,94,7.32,5.96,73.49,2.73
510,chunskiy,23,RU,1568048852,91,56.08,99.63,45.23,4.23
511,sinnamary,55,GF,1568048852,76,5.38,-52.96,83.03,18.07
512,sistranda,0,NO,1568048852,62,63.73,8.83,60.01,4.7
513,neka,75,IR,1568048852,88,36.65,53.3,69.8,4.7
514,boli,81,CN,1568048852,72,45.76,130.56,54.41,9.95
515,lavrentiya,98,RU,1568048684,97,65.58,-170.99,44.33,2.62
516,sartell,90,US,1568048853,87,45.62,-94.21,60.8,8.05
517,coueron,100,FR,1568048853,67,47.22,-1.72,62.6,9.17
518,sao luiz gonzaga,100,IN,1568048853,90,20.51,76.21,72.59,10.18
519,jalu,0,LY,1568048853,27,29.03,21.55,87.53,8.77
520,carbonia,0,IT,1568048853,36,39.17,8.53,80.6,14.99
521,mayna,100,RU,1568048854,93,53.0,91.49,45.77,10.69
522,tual,26,ID,1568048854,77,-5.67,132.75,76.19,20.38
523,opuwo,22,NA,1568048854,12,-18.06,13.84,73.49,11.32
524,never,0,RU,1568048854,95,53.98,124.16,35.87,3.96
525,springdale,1,US,1568048854,55,36.19,-94.13,93.0,9.17
526,mbalmayo,75,CM,1568048797,78,3.52,11.5,77.0,6.93
527,spasskoye,98,RU,1568048854,89,55.86,45.7,56.21,3.2
528,nayudupeta,40,IN,1568048855,59,13.91,79.9,89.6,6.93
529,tinogboc,99,PH,1568048855,78,12.01,121.41,82.49,12.91
530,uige,20,AO,1568048855,54,-7.61,15.06,82.4,11.41
531,pangody,92,RU,1568048855,67,65.85,74.49,40.01,11.25
532,killybegs,40,IE,1568048855,67,54.63,-8.45,57.2,14.99
533,xai-xai,0,MZ,1568048855,82,-25.04,33.64,60.89,5.19
534,gayny,21,RU,1568048855,79,60.3,54.33,44.33,3.18
535,san miguel de cauri,90,ML,1568048799,58,13.3,-4.9,87.71,7.52
536,ola,81,RU,1568048856,63,59.58,151.3,47.75,8.08
537,meulaboh,100,ID,1568048856,76,4.14,96.13,82.31,6.91
538,omboue,100,GA,1568048856,85,-1.57,9.26,76.55,12.75
539,bayburt,59,TR,1568048856,93,40.26,40.22,45.77,3.56
540,lafiagi,97,NG,1568048856,86,8.85,5.42,76.55,1.25
541,bagdarin,0,RU,1568048856,88,54.44,113.59,33.71,0.87
542,fortuna,75,US,1568048857,77,40.6,-124.16,66.0,4.7
543,aleksandro-nevskiy,39,RU,1568048857,66,53.48,40.21,63.41,5.82
544,shyryayeve,42,UA,1568048857,33,47.38,30.2,66.29,7.58
545,khani,40,GE,1568048857,43,41.96,42.96,71.6,35.57
546,leningradskiy,7,RU,1568048857,88,69.38,178.42,39.83,9.44
547,passos,54,BR,1568048858,25,-20.72,-46.61,85.01,9.13
548,xiaoweizhai,88,CN,1568048858,99,26.23,107.51,67.91,2.77
